CalName,CaseId,StationName,π¶¬ ÷∏¡Ó(%),Idc,Ud,UdL,Udio,Pd,Pconv,miu,Ang,TC,Uac,Uv,Qconv,Qf_max,Qf_min,Udio_N,Uv_N,
≤‚ ‘1493816327,SGFH222,P’æ,100.0000,  1.0000,480.9244,481.9792,280.4001,480.9242,479.2026, 20.8275, 19.2657,   0,500.0000,207.6308,285.5625,612.5112,532.5112,280.4001,207.6308,
≤‚ ‘1493816327,SGFH222,S’æ,105.0000,  1.3650,500.0000,498.5606,285.5918,682.4999,684.9562, 24.1513, 13.9751,   0,500.0000,211.4751,361.0744,740.3461,660.3461,285.5918,211.4751,
≤‚ ‘1493816327,SGFH222,K’æ,105.0000,  0.3150,485.4272,485.9344,356.5089,152.9096,152.2489, 13.1970, 40.3712,   0,220.0000,263.9879,164.4516,361.8911,281.8911,356.5089,263.9879,
≤‚ ‘1493816327,SGFH222,P’æ,105.0000,  1.0500,479.9706,481.0781,280.4001,503.9690,502.1024, 21.8525, 18.7958,   0,500.0000,207.6308,301.0302,612.5112,532.5112,280.4001,207.6308,
≤‚ ‘1493816327,SGFH222,S’æ,110.0000,  1.4300,500.0000,498.4921,285.5918,714.9998,717.6548, 25.6508, 12.8706,   0,500.0000,211.4751,376.7327,740.3461,660.3461,285.5918,211.4751,
≤‚ ‘1493816327,SGFH222,K’æ,110.0000,  0.3300,484.7333,485.2646,356.5089,159.9619,159.2463, 13.8170, 40.1116,   0,220.0000,263.9879,172.4488,361.8911,281.8911,356.5089,263.9879,
≤‚ ‘1493816327,SGFH222,P’æ,110.0000,  1.1000,479.0168,480.1771,280.4001,526.9184,524.9012, 22.8829, 18.3143,   0,500.0000,207.6308,316.5757,612.5112,532.5112,280.4001,207.6308,
≤‚ ‘1493816327,SGFH222,S’æ,115.0000,  1.4950,500.0000,498.4235,285.5918,747.4999,750.3609, 27.2492, 11.6638,   0,500.0000,211.4751,392.1158,740.3461,660.3461,285.5918,211.4751,
≤‚ ‘1493816327,SGFH222,K’æ,115.0000,  0.3450,484.0394,484.5948,356.5089,166.9936,166.2208, 14.4368, 39.8506,   0,220.0000,263.9879,180.4576,361.8911,281.8911,356.5089,263.9879,
≤‚ ‘1493816327,SGFH222,P’æ,115.0000,  1.1500,478.0630,479.2760,280.4001,549.7723,547.5990, 23.9200, 17.8203,   0,500.0000,207.6308,332.1945,612.5112,532.5112,280.4001,207.6308,
≤‚ ‘1493816327,SGFH222,S’æ,120.0000,  1.5600,500.0000,498.3550,285.5918,779.9998,783.0743, 28.9823, 10.3190,   0,500.0000,211.4751,407.1821,740.3461,660.3461,285.5918,211.4751,
≤‚ ‘1493816327,SGFH222,K’æ,120.0000,  0.3600,483.3454,483.9250,356.5089,174.0042,173.1722, 15.0564, 39.5882,   0,220.0000,263.9879,188.4773,361.8911,281.8911,356.5089,263.9879,
≤‚ ‘1493816327,SGFH222,P’æ,120.0000,  1.2000,477.1092,478.3750,280.4001,572.5310,570.1959, 24.9650, 17.3126,   0,500.0000,207.6308,347.8819,612.5112,532.5112,280.4001,207.6308,
≤‚ ‘1493816327,SGFH222,S’æ,125.0000,  1.6271,499.3631,497.6474,285.5918,812.4996,815.8022, 30.6677,  9.1309,   0,500.0000,211.4751,424.6265,740.3461,660.3461,285.5918,211.4751,
≤‚ ‘1493816327,SGFH222,K’æ,125.0000,  0.3755,481.9925,482.5970,356.5089,180.9776,180.0822, 15.6774, 39.3966,   0,220.0000,263.9879,196.9853,361.8911,281.8911,356.5089,263.9879,
≤‚ ‘1493816327,SGFH222,P’æ,125.0000,  1.2516,475.4882,476.8083,280.4001,595.1179,592.6099, 25.9247, 16.9971,   0,500.0000,207.6308,365.5235,612.5112,532.5112,280.4001,207.6308,
≤‚ ‘1493816327,SGFH222,S’æ,130.0000,  1.6977,497.7290,495.9387,285.5918,844.9986,848.5500, 32.0887,  8.3771,   0,500.0000,211.4751,446.4503,740.3461,660.3461,285.5918,211.4751,
≤‚ ‘1493816327,SGFH222,K’æ,130.0000,  0.3918,479.6042,480.2349,356.5089,187.8988,186.9341, 16.3013, 39.3163,   0,220.0000,263.9879,206.3223,361.8911,281.8911,356.5089,263.9879,
≤‚ ‘1493816327,SGFH222,P’æ,130.0000,  1.3059,472.8175,474.1950,280.4001,617.4663,614.7699, 26.7360, 16.9987,   0,500.0000,207.6308,386.4423,612.5112,532.5112,280.4001,207.6308,
≤‚ ‘1493816327,SGFH222,S’æ,135.0000,  1.7688,496.0903,494.2251,285.5918,877.4991,881.3097, 33.5896,  7.5380,   0,500.0000,211.4751,468.5639,740.3461,660.3461,285.5918,211.4751,
≤‚ ‘1493816327,SGFH222,K’æ,135.0000,  0.4082,477.2063,477.8634,356.5089,194.7915,193.7545, 16.9263, 39.2345,   0,220.0000,263.9879,215.7757,361.8911,281.8911,356.5089,263.9879,
≤‚ ‘1493816327,SGFH222,P’æ,135.0000,  1.3606,470.1353,471.5705,280.4001,639.6839,636.7910, 27.5421, 16.9979,   0,500.0000,207.6308,407.8026,612.5112,532.5112,280.4001,207.6308,
≤‚ ‘1493816327,SGFH222,S’æ,140.0000,  1.8405,494.4350,492.4942,285.5918,909.9988,914.0797, 35.1964,  6.5899,   0,500.0000,211.4751,491.0069,740.3461,660.3461,285.5918,211.4751,
≤‚ ‘1493816327,SGFH222,K’æ,140.0000,  0.4247,474.7860,475.4698,356.5089,201.6543,200.5420, 17.5526, 39.1524,   0,220.0000,263.9879,225.3561,361.8911,281.8911,356.5089,263.9879,
≤‚ ‘1493816327,SGFH222,P’æ,140.0000,  1.4158,467.4285,468.9219,280.4001,661.7645,658.6669, 28.3420, 16.9986,   0,500.0000,207.6308,429.6414,612.5112,532.5112,280.4001,207.6308,
≤‚ ‘1493816327,SGFH222,S’æ,145.0000,  1.9126,492.7752,490.7583,285.5918,942.4988,946.8610, 36.9749,  5.4651,   0,500.0000,211.4751,513.6993,740.3461,660.3461,285.5918,211.4751,
≤‚ ‘1493816327,SGFH222,K’æ,145.0000,  0.4414,472.3558,473.0664,356.5089,208.4871,207.2963, 18.1801, 39.0688,   0,220.0000,263.9879,235.0547,361.8911,281.8911,356.5089,263.9879,
≤‚ ‘1493816327,SGFH222,P’æ,145.0000,  1.4713,464.7100,466.2618,280.4001,683.7079,680.3974, 29.1379, 16.9969,   0,500.0000,207.6308,451.9205,612.5112,532.5112,280.4001,207.6308,
≤‚ ‘1493816327,SGFH222,S’æ,150.0000,  1.9890,490.1959,488.0985,285.5918,974.9989,979.6687, 38.2446,  4.9991,   0,500.0000,211.4751,541.5061,740.3461,660.3461,285.5918,211.4751,
≤‚ ‘1493816327,SGFH222,K’æ,150.0000,  0.4590,468.9613,469.7002,356.5089,215.2530,213.9761, 18.8140, 39.0851,   0,220.0000,263.9879,245.7118,361.8911,281.8911,356.5089,263.9879,
≤‚ ‘1493816327,SGFH222,P’æ,150.0000,  1.5300,461.0101,462.6240,280.4001,705.3451,701.8015, 29.7985, 17.2803,   0,500.0000,207.6308,477.8310,612.5112,532.5112,280.4001,207.6308,
≤‚ ‘1493816327,SGFH444,S’æ, 10.0000,  0.1300,500.0000,499.8629,260.2862, 64.9999, 65.0928,  4.0539, 13.7230,  -1,450.0000,192.7368, 18.4620,740.3461,660.3461,260.2862,192.7368,
≤‚ ‘1493816327,SGFH444,K’æ, 10.0000,  0.0300,498.6121,498.6604,320.7230, 14.9584, 14.9362,  1.6164, 38.2738,  -2,190.0000,237.4891, 12.1325,361.8911,281.8911,320.7230,237.4891,
≤‚ ‘1493816327,SGFH444,P’æ, 10.0000,  0.1000,498.0924,498.1979,265.3070, 49.8091, 49.7379,  3.1205, 18.7685,  -4,450.0000,196.4547, 18.4647,612.5112,532.5112,265.3070,196.4547,
≤‚ ‘1493816327,SGFH444,S’æ, 15.0000,  0.1950,500.0000,499.7944,263.6232, 97.4999, 97.6503,  5.2605, 15.4195,  -2,450.0000,195.2078, 32.0553,740.3461,660.3461,263.6232,195.2078,
≤‚ ‘1493816327,SGFH444,K’æ, 15.0000,  0.0450,497.9182,497.9906,327.5469, 22.4064, 22.3698,  2.2988, 39.4761,  -3,190.0000,242.5421, 19.1965,361.8911,281.8911,327.5469,242.5421,
≤‚ ‘1493816327,SGFH444,P’æ, 15.0000,  0.1500,497.1387,497.2969,265.3070, 74.5706, 74.4554,  4.6283, 18.2585,  -4,450.0000,196.4547, 28.0685,612.5112,532.5112,265.3070,196.4547,
≤‚ ‘1493816327,SGFH444,S’æ, 20.0000,  0.2600,500.0000,499.7258,263.6232,129.9999,130.2153,  7.0810, 14.3377,  -2,450.0000,195.2078, 42.5721,740.3461,660.3461,263.6232,195.2078,
≤‚ ‘1493816327,SGFH444,K’æ, 20.0000,  0.0600,497.2242,497.3208,327.5469, 29.8335, 29.7804,  3.0595, 39.1881,  -3,190.0000,242.5421, 25.6457,361.8911,281.8911,327.5469,242.5421,
≤‚ ‘1493816327,SGFH444,P’æ, 20.0000,  0.2000,496.1849,496.3958,265.3070, 99.2368, 99.0720,  6.1107, 17.7343,  -4,450.0000,196.4547, 37.8968,612.5112,532.5112,265.3070,196.4547,
≤‚ ‘1493816327,SGFH444,S’æ, 25.0000,  0.3250,500.0000,499.6573,263.6232,162.4999,162.7877,  8.9647, 13.1694,  -2,450.0000,195.2078, 52.9536,740.3461,660.3461,263.6232,195.2078,
≤‚ ‘1493816327,SGFH444,K’æ, 25.0000,  0.0750,496.5303,496.6510,327.5469, 37.2398, 37.1681,  3.8177, 38.8984,  -3,190.0000,242.5421, 32.1186,361.8911,281.8911,327.5469,242.5421,
≤‚ ‘1493816327,SGFH444,P’æ, 25.0000,  0.2500,495.2311,495.4948,265.3070,123.8076,123.5875,  7.5735, 17.1947,  -4,450.0000,196.4547, 47.9343,612.5112,532.5112,265.3070,196.4547,
≤‚ ‘1493816327,SGFH444,S’æ, 30.0000,  0.3900,500.0000,499.5887,267.0468,194.9999,195.3676,  9.5315, 14.9828,  -3,450.0000,197.7430, 71.5600,740.3461,660.3461,267.0468,197.7430,
≤‚ ‘1493816327,SGFH444,K’æ, 30.0000,  0.0900,495.8364,495.9812,327.5469, 44.6253, 44.5328,  4.5736, 38.6068,  -3,190.0000,242.5421, 38.6146,361.8911,281.8911,327.5469,242.5421,
≤‚ ‘1493816327,SGFH444,P’æ, 30.0000,  0.3000,494.2773,494.5937,268.7541,148.2830,148.0021,  8.2071, 18.9428,  -5,450.0000,199.0071, 63.6686,612.5112,532.5112,268.7541,199.0071,
≤‚ ‘1493816327,SGFH444,S’æ, 35.0000,  0.4550,500.0000,499.5202,267.0468,227.4999,227.9548, 11.2555, 13.8827,  -3,450.0000,197.7430, 83.1091,740.3461,660.3461,267.0468,197.7430,
≤‚ ‘1493816327,SGFH444,K’æ, 35.0000,  0.1050,495.1424,495.3115,327.5469, 51.9900, 51.8746,  5.3274, 38.3133,  -3,190.0000,242.5421, 45.1330,361.8911,281.8911,327.5469,242.5421,
≤‚ ‘1493816327,SGFH444,P’æ, 35.0000,  0.3500,493.3235,493.6927,268.7541,172.6631,172.3157,  9.5168, 18.4440,  -5,450.0000,199.0071, 74.9608,612.5112,532.5112,268.7541,199.0071,
≤‚ ‘1493816327,SGFH444,S’æ, 40.0000,  0.5200,500.0000,499.4517,267.0468,259.9999,260.5495, 13.0585, 12.6895,  -3,450.0000,197.7430, 94.4790,740.3461,660.3461,267.0468,197.7430,
≤‚ ‘1493816327,SGFH444,K’æ, 40.0000,  0.1200,494.4485,494.6417,327.5469, 59.3338, 59.1934,  6.0793, 38.0180,  -3,190.0000,242.5421, 51.6729,361.8911,281.8911,327.5469,242.5421,
